sentence,label
"0.000123, which translates to a distance of 705 Mly, or 216 Mpc.000webhost is a free web hosting service",1
"operated by Hostinger.0010x0010 is a Dutch-based audiovisual artist, currently living in Los Angeles.0-0-1-3",1
An alcohol abuse prevention program started in 2004 at Francis E. Warren Air Force Base,0
focusing on research by the National Institute on Alcohol Abuse and Alcoholism regarding binge drinking in college students.0.01,1
"is the debut studio album of H3llb3nt, issued on February 20, 1996 by Fifth Colvmn Records.001 of 3 February 1997.",0
"It was negotiated between the Government of the Republic of Rwanda, and FAPADER.003230 is a South Korean food manufacturer.",1
0.04%Gas molecules in soil are in continuous thermal motion due to the kinetic theory of gasses,1
", there is also collision between molecules - a random walk.0.04",0
% of the votes were invalid.005.1999.06 is the fifth studio album by the South Korean singer and actress Uhm Jung-hwa.005 is a 1981 arcade game by Sega.,0
007 Legends is a first-person shooter video game starring the character of British secret agent James Bond.,0
"007 Legends is the fourth and final James Bond game title produced by Activision, the last game Eurocom developed before the company ceased operations and also the last James Bond video game to be available on home video game systems, to date.007",0
"Racing is a racing video game dependent on the James Bond license.00 AM PST and burned a total of 8,110 acres.00am to 1:00pm on TV5, and it is the biggest project to date this year by the network and hosted by majority of the network's bunch of talents collectively known as """,0
"HappyPeeps"".0.0 is a live album by Melt-Banana that went out on November 3, 2009.Melt-Banana perform some of their shows under the name",1
"Melt-Banana Lite, which suggests that they perform their music with a different arrangement.",1
"0.0% is supposed to be the start of the retracement, while 100.0% is a complete reversal to the original part of the move.",1
00 pm in daily spent on rerun programs to simultaneously networks.00 -,1
The rebels began to throw objects with a catapult.,0
01-04-043 as specified in the catalog.010 being the areacode for the city of Rotterdam,1
010 is the debut studio album by the rock band Ulysses.,0
"01.10 dates to January 2010.The album was released on April 26, 2010.01111111).The ID3 specifications require that multibyte numbers such as these be stored in big-endian order, so the bytes will be ordered exactly as laid out in the examples above.",1
0114 is the national dialing code for Sheffield in the United Kingdom.,0
"0:12 Revolution in Just Breaking is the third studio album to be released by Missouri band Coalesce, which was released on November 16, 1999 through Relapse Records.",1
"0137 was a live-streaming German talk show.013 is a music venue in Tilburg, the Netherlands.013 is the largest popular music venue in the southern Netherlands.0141 632 6326",1
is the fourth album from Scottish rock band,0
"Gun.01:59PM is the first studio album by South Korean boy band, 2PM.01708 is the national dialing code for Romford in the United Kingdom.0181 is a compilation album by Four Tet, distributed by Text Records in January 2013.0191",1
"is the UK telephone dialing code used by Newcastle, Durham, Sunderland and other nearby areas in the north east of England.01-cv-01351-TEH",0
"(N.D. Cal.), is a federal class action civil rights lawsuit noting that the California Department of Corrections and Rehabilitation's (CDCR)",1
