Sentence;Fluency;Meaning;Creativity;Metaphoricity;Source
Through the mixture of musical genres, new popular music forms are created to reflect the ideals of a global culture;5;4;3;3;system
For the good they comprehend not that the feeble hands and helpless, swam blindly in the darkness;2;1;3;2;system
To fight their thirst and fever, by the shadow of his right hand;4;4;3;3;system
Contemporary folk music reflects a genre generally distinct from traditional folk music, in US English it shares the same name, and it often attracts the same performers and venues as traditional folk music;5;4;3;3;system
Filled the air with dreamy softness;5;5;3;4;system
"In 2019, the trap-inspired country/rap crossover ""Old Town Road"" by Lil Nas X (featuring Billy Ray Cyrus) smashed the record for spending the most weeks (19 weeks) at No";5;5;3;3;system
It consists of a stylized rhythmic music that commonly echoes rapping, a rhythmic and rhyming speech that is chanted;5;4;4;4;system
With the bark of the red willow, sank upon the neighboring forest;2;2;3;2;system
Bear! you know our intentions are hostile;3;3;1;1;system
Stood erect, and assembled the nations, called the tribes of men together;4;4;2;2;system
Scarcely can the ear penetrate whether they are sung or spoken;4;4;3;3;system
The genre exploded in the 1960s and 1970s, when new musical instruments were being introduced to a wider market, such as the synthesizer;5;5;3;4;system
Drops of sweat flew fast and heavy;5;4;4;5;system
This definition reflects the fact that quantum mechanical effects are important at this quantum-realm scale;5;4;3;3;system
He it was who greeted the morning;4;4;3;4;system
But he was too fat and lazy to lift himself and woo her;4;4;3;2;system
Yes, too indolent and easy to pursue her and possess her;4;4;2;3;system
And the thunder in the mountains, whose innumerable echoes shone like eagles in their eyries;5;4;5;5;system
Day by day his heart within him grew more saturated with love and longing;5;5;5;5;system
Through the green lanes of the country, where the tangled barberry-bushes fluttered their tufts of crimson berries;5;5;5;5;system
Ye whose hearts are fresh and simple, who exercise faith in God and Nature;5;3;3;3;system
The term technology comes from the Greek word techne, representing art and craft, and the word logos, meaning word and speech;5;5;2;2;system
He the Master of Life, floated on the red crags of the quarry;5;3;3;3;system
Till at last he rose defeated;4;4;2;4;system
She captured all the men 's hearts;4;5;3;3;system
The water wastes back into the ocean;3;3;2;3;system
The examples of Africa, Indonesia, and the Middle East show how Western pop music styles can work with local musical traditions to create new hybrid styles;5;5;3;3;system
The definition shifted from a particular technological goal to a research category inclusive of all types of research and technologies that deal with the special properties of matter which occur below the given size threshold;5;5;2;2;system
A more generalized description of nanotechnology was subsequently adopted by the National Nanotechnology Initiative, which defined nanotechnology as the manipulation of matter with at least one dimension sized from 1 to 100 nanometers;5;5;3;3;system
Right between the words he smote him, with the heavy blow bewildered;4;2;4;4;system
By the rushing in the Spring-time;3;2;2;2;system
Bury your conscience and your weapons;4;5;4;5;system
The modern Western music industry flourished between the 1930s and 1950s, when records replaced sheet music as the most important product in the music business;5;5;3;3;system
By the 1940s, magnetic audio tape encouraged musicians to tape sounds and then modify them by changing the tape speed or direction, leading to the development of electroacoustic tape music in the 1940s, in Egypt and France;5;5;3;4;system
It provides a tailored interface for the service, oriented towards music streaming, allowing users to navigate through songs and music videos on YouTube based on genres, playlists, and recommendations;5;5;2;2;system
After breathing love and music into the lives of the family, she marries the officer and, together with the children, finds a way to survive the loss of their homeland to the Nazis;4;3;4;5;system
Enjoy God's right hand in that darkness;3;3;3;2;system
Take the wild that grow beside you;3;2;3;3;system
Then he unleashed his war-club;4;5;3;3;system
Capture the groves of singing pine-tree;4;2;3;3;system
The Great Spirit, the creator, smiled upon his helpless image!;4;4;3;3;system
Grace me with your little candle;4;2;3;4;system
In their faces screamed defiance;3;3;3;3;system
For a while to muse, and hang on a half-effaced inscription;4;1;2;2;system
Dark below them flowed the darkness;2;2;3;4;system
People may embrace music as a hobby, like a teen playing cello in a youth orchestra, or work as a professional musician or singer;4;4;3;3;system
The earliest, widespread description of nanotechnology referred to the particular technological goal of precisely manipulating atoms and molecules for fabrication of macroscale products, also now referred to as molecular nanotechnology;5;4;3;3;system
Classical music is art music produced or absorbed in the traditions of Western culture, generally considered to have begun in Europe after the fall of the Western Roman Empire in the late 5th century CE and continuing to present day;5;4;3;3;system
Touched the rugged hills with smoothness;3;2;4;4;system
Till his panting breath grew erratic;4;4;3;3;system
Could not bear the heat and laughter;3;3;2;2;system
Till into a star he painted her;3;3;1;1;system
It sold 8 million motherboards in the first quarter of 2015, which catapulted it to become the leading motherboard vendor;4;3;4;4;system
Over them he strecthed his right hand, to tame their stubborn natures;4;3;3;3;system
Dressed in tones so plain and childlike;4;4;2;2;system
"In the eastern sky, the rainbow asked: ""What is that, Nokomis?""";4;3;3;4;system
Then a snow-white cloud unfolding, like the tree-tops of the forest, ever rising, till it touched the top of heaven;5;4;4;5;system
Shook the world in his fury;4;3;4;3;system
Over stone walls gray with mosses, swallowed by some neglected graveyard;4;4;4;5;system
As the sound of far-off waters, melting into deep abysses;4;2;4;4;system
Due to its relatively open style, ambient music often draws influences from many other genres, ranging from classical, avant-garde music, folk, jazz, and world music, amongst others;5;5;3;3;system
"The genre draws its name from the Atlanta slang word ""trap"", which refers to a place in which drugs are sold illegally";5;5;3;3;system
Silently he stole upon him, till the red nails of the monster almost blinded him, almost scared him;4;2;1;1;system
It has revived the music of many pop and R&B artists, such as Ariana Grande, Beyoncé, Miley Cyrus, Rihanna and more;4;4;3;3;system
Buried all their warlike ambitions;3;3;3;3;system
Till in flame they danced and kindled;4;3;2;2;system
Where the heron, the Shuh-shuh-gah, dances among the reeds and rushes;3;2;1;1;system
Folded in his robes of mourning;4;4;5;5;system
But his life beneath him trembled;4;3;3;4;system
"Finally, my mother used to rock me to sleep reading portions of Hiawatha to me, especially: '""Wah-wah-taysee, little fire-fly,'";4;5;1;1;system
And beyond them floated the forest;3;3;4;5;system
The invention of the wheel encouraged humans to travel in and control their environment;4;5;3;3;system
Ere upon my bed I buried me;3;2;3;5;system
Ere in sleep I cracked my eyelids!;3;2;4;5;system
EMI's locations in the United Kingdom, the United States, and Canada were all dissolved to repay debt, but the primary head office located outside those countries is still functional;4;3;4;4;system
Round about the Indian village swam the meadows and the corn-fields;4;5;4;5;system
A bunch of trees nodded in the winter breeze;4;5;4;5;system
From his footprints flowed a river, bursting into the light of morning;4;3;4;5;system
Bathe now in the moment before you;4;3;4;5;system
You have laid your expectations upon her;4;5;3;4;system
And the Spirit ascended earthward with his finger on the meadow;4;4;3;4;system
Then upon the ground the warriors threw their cloaks and shirts of victory;4;5;4;4;system
Since 2011, the Music Industry has enjoyed consistent sales growth with streaming now generating more revenue per annum than digital downloads;4;5;4;4;system
Still he did not cut his laughing;3;3;4;4;system
West Coast hip hop was overshadowed by G-funk in the early-mid 1990s, while East Coast hip hop was dominated by jazz rap, alternative hip hop, and hardcore rap;4;5;3;4;system
Wash the suffering from your faces;4;5;4;4;system
Music can be broken into genres in varying ways, such as popular music and art music, or religious music and secular music;4;5;3;3;system
Music videos reflect a wide range of styles and contemporary video-making techniques, including animation, live-action, documentary, and non-narrative approaches such as abstract film;4;5;3;3;system
Threw their family and their war-gear;2;1;3;4;system
Love the wind among the branches, and the rain-shower and the snow-storm, and the roaring of great rivers;5;5;4;5;system
Running straight across the heavens;4;4;3;2;system
For himself he kept the West-Wind, gave the power to his children;3;3;3;4;system
In its most general form, the activities portraying music as an art form or cultural activity include the creation of works of music (songs, tunes, symphonies, and so on), the criticism of music, the study of the history of music, and the aesthetic examination of music;5;3;3;3;system
From the river came the warriors, clean and washed from all their sins;5;5;4;4;system
Filled the sky with blood and vapor;3;3;4;5;system
Till the hot breath of his nostrils warmed the heart of Mudjekeewis;4;2;2;4;system
You go hiding in the shadows!;4;4;3;3;system
The heavy breathing warmed the spirits of Mudjekeewis;4;3;4;5;system
On the banks their hearts they buried;3;3;4;4;system
And the pleasant water-courses, you could wave them through the valley;2;2;2;3;system
;4;3,65;3,11;3,41;
