sentence,label
I ca n't buy this story .,1
European children learn the breast stroke ; they often do n't know how to crawl .,0
He shed his image as a pushy boss .,1
She devoured his novels .,1
Age and experience mellowed him over the years .,1
He communicated his anxieties to the psychiatrist .,0
I 'll ping my accountant -- April 15 is nearing .,1
harmonize one 's goals with one 's abilities .,1
The new teacher tends to steamroller .,1
He sifted the information .,1
square the wood with a file .,0
This hotel can accommodate 250 guests .,0
The tugboat tugged the freighter into the harbor .,0
The immigrants were quickly absorbed into society .,1
A star tops the Christmas Tree .,0
The tanker fueled in Bahrain .,0
a terrible stench saluted our nostrils .,1
The tax cut will boost the economy .,1
The horse was galloping along .,0
She was wearing yellow that day .,0
ping your machine in the office .,0
earthquakes convulsed the countryside .,1
letters trenched into the stone .,0
The fishermen tied their flies .,0
The pirates raided the coastal villages regularly .,0
His heart palpitated .,1
mount slides for macroscopic analysis .,0
This job does n't match my dreams .,1
the pig was rooting for truffles .,0
deflate the currency .,1
The beams scanned the night sky .,1
The conversation gravitated towards politics .,1
the conversation lightened me up a bit .,1
We exploded the nuclear bomb .,0
The wind ruffled the surface of the water .,0
They poured water over the floor .,0
inflate the currency .,1
She splashed the water around her .,0
His lack of interest in the project reflects badly on him .,1
he buzzed the servant .,1
The music swelled to a crescendo .,1
stock prices are drifting higher .,1
The therapist noticed that the patient 's knees tended to lock in this exercise .,0
I heard him volley a string of curses .,1
tack the notice on the board .,0
The candidate ripped into his opponent mercilessly .,1
The car crushed the toy .,0
She was staggered with bills after she tried to rebuild her house following the earthquake .,1
This dress spots quickly .,0
" Hitler attacked Poland on September 1 , 1939 and started World War II .",0
The salesman is aggressively pushing the new computer model .,1
mount a theater production .,1
Fame redounds to the heroes .,1
the kettle was singing .,1
The latest intelligence is flashed to all command posts .,1
The sun melted the ice .,0
The Turks erased the Armenians in 1915 .,1
This vaccine will guard you against infection .,1
The swollen river flooded the village .,0
This story would lend itself well to serialization on television .,1
These big jets are tied to large airports .,1
The leaves clog our drains in the Fall .,0
The hiker negociated the high mountain pass .,1
He tacked together some verses .,1
Water leaked out of the can into the backpack .,0
The author recaptures an old idea here .,1
paste the sign on the wall .,0
I attacked the problem as soon as I got out of bed .,1
grind the spices in a mortar .,0
fuel the debate on creationism .,1
She radiates happiness .,1
We must acknowledge the kindness she showed towards us .,0
A weather vane crowns the building .,1
She had to juggle her job and her children .,1
lined books are more enduring .,0
The children wrestled in the garden .,0
pin the needle to the shirt .,0
load the bags onto the trucks .,0
The French try to sell us their image as great lovers .,1
He painted his mistress many times .,0
form the young child 's character .,1
We injected the glucose into the patient 's vein .,0
a man whose name is permanently stamped on our maps .,1
We have n't even begun to map the many galaxies that we know exist .,0
The actress abused the policeman who gave her a parking ticket .,0
