sentence,label
"Just as Reuters and Telerate want to grab a piece of Quotron 's territory by offering U.S. equities quotes , Quotron is eyeing their turf and mulling ways to offer pricing information on fixed-income instruments and foreign currencies .",1
"With its strength in the Old South , the Rocky Mountain and northern plains states and such dependable GOP bastions as Indiana , the party can absorb some losses and still accumulate close to 200 electoral votes .",0
"`` We 've been plowing a lot of new furrows , '' says Richard Burket of Archer-Daniels-Midland Co . , Decatur , Ill .",0
"Their ambassador , Oleg Sokolov , speaks fluent English , goes to prayer breakfasts with President Corazon Aquino , and gives smooth interviews to the Philippine press in which he urges the country to kick out the Americans and get friendlier with Moscow .",1
"Thierry Liebaut , director of development for a French media group , says if he had to pay top price for it in a restaurant , `` I would make the chef eat the tubes . ''",1
"It had wound itself around the erect herb many times , to the latter 's disadvantage , and now its upper tendrils were grasping the air , as if seeking an atmospheric foothold .",0
A former Navy intelligence aide said the U.S. targeted the French Embassy when it bombed Libya in 1986 .,0
"Water is receding there , but in Bombay yesterday , torrential rains killed at least 14 people , and roads and rail links in the city were cut off .",0
"An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur .",0
"But sources inside the company acknowledge that management has examined such options as a restructuring or recapitalization , or a friendly transaction with another company .",0
The FDIC staff also noted that Wells Fargo would have given the agency no control over the selection and management of bad loans for which the agency would have to absorb all losses .,0
"The solvent failed to dissolve non-cholesterol gallstones in two patients , however .",0
"The point of this review is not necessarily to let off the Eritreans , who have recently come under deservedly strong criticism for attacking two food convoys , but to demonstrate how famine in northern Ethiopia is part of something much broader and more complex than drought .",0
"`` The new irrigation tunnel has allowed us to plant 6 , 000 willow trees and 600 apple trees and to earn money for the education of our children , '' she says , tears welling in her eyes .",0
"He strongly attacked the Massachusetts governor , asserting that he would lead the nation toward higher taxes , economic stagnation and a weaker defense .",0
But the Supreme Court melted down my statue when it decided Hazelwood . '',1
"They pump their arms and wiggle their hips vigorously , producing a motion that Red Smith once likened to that of earthworms out after a thunderstorm .",0
"She works doggedly at her job in the garment industry , yet when she misses a promotion she 'd hoped for , she `` borrows '' two dresses from the showroom and takes her best friend dancing .",1
"Throughout training , Mr. Hynes and his classmates feared above all that they would wash out , or that the war would end , and that they 'd miss their chance at fighting the good fight .",1
"It also is likely to lead to an escalation in the clash between the church and the state , which has been raging since last month when several churches , including the Roman Catholic Church , stepped up their criticism of apartheid .",1
Your Sept. 22 editorial `` The Liberal Plantation '' hangs on a badly flawed premise: that workfare can lead to `` steady work '' and help poor people `` escape welfare and lead independent lives . '',0
Racism has gone largely unnoticed as images of Brazilians of all shades dancing the samba at Carnival created a sense of racial harmony .,0
"Its value depends on how quickly you can bring it to market , and there are problems like zoning and water and the ability of the market to absorb inventory . ''",0
"Durum wheat farmers expect to plant 3.7 million acres , up 12 % from last year , while spring wheat plantings are expected to total 12.8 million acres , down 7 % .",0
"Manufacturers Hanover Ltd . , the London-based investment-banking unit of Manufacturers Hanover Corp . , is organizing banks to lend $ 160 million to Super Octanos C.A . , a 51 % Venezuelan state-owned joint venture .",0
"Although foreign exchange traders had been awaiting Mr. Greenspan 's testimony in the hope it would lend the currency market some long-sought direction , most said his statements had a neutral impact .",0
